ID,Categoría,Subcategoría,Pregunta,Longitud,Respuestas,Estatus,Fecha de Generación,Cliente,Link ,Responsable
1,General,Información Corporativa ,Nombre comercial,,Element Fleet Management,,,,,
2,General,Información Corporativa ,Razón social de la compania,,Element Fleet Management Corporation Mexico S.A. de C.V,,,,,
3,General,Información Corporativa ,"RFC (en letras mayúsculas, con homoclave, sin guiones)",,EFM150724B12,,,,,
4,General,Información Corporativa ,Dirección en Internet (pagina web),,https://www.elementfleet.com.mx/,,,,,
5,General,Información Corporativa ,Año de Fundación,,EMéxico 2015,,,,,
6,General,Información Corporativa ,Nombre del Representante legal,,Julio Planas,,,,,
7,General,Información Corporativa ,La empresa cambió su nombre en el último año? Indique nombre anterior:,,No,,,,,
8,General,Información Corporativa ,La empresa es parte de algún grupo de empresas? Indique el grupo o marque NO,,Alianza Global Element- Arval,,,,,
9,General,Información Corporativa ,"Su empresa tiene filiales en otros países? En caso de ser asi, favor de mencionarlos",,"EUA, Canadá, Australia, Nueva Zelanda",,,,,
10,Finanzas,Estados Financieros ,Ventas totales anuales en México (MXN),,"No se puede compartir información local MX, solo estados financieros globales. Consultar https://www.elementfleet.com/investor-relations/public-disclosures",,,,,
11,General,Información Corporativa ,¿Quiénes considera usted que son sus competidores más importantes?,,"ALD, LeasePtan, Ariza",,,,,
12,Calidad,Control de Calidad,¿Su compañía tiene algún programa de calidad implementado?,,"SI. En Element, el servicio no es solo algo que ofrecemos, es una filosofía que practicamos. ",,,,,
13,Calidad,ISO ,Cuéntan con alguna Norma ISO? Enliste:,,"No, nuestro sistema de gestión está basado en ISO9000 pero no tenemos certificación",,,,,
14,Calidad,Certificaciones ,Enliste los certificados ó capacitaciones de sistema de calidad con los que cuenta su empresa.,,Pendiente link capacitaciones,,,,,
15,Calidad,Certificaciones ,Describa si su compañía ha recibido algún premio o reconocimiento de calidad en los servicios por parte de algún cliente y/o cámara,,"Mary Kay 2023, Mejor proveedor de servicios 2022. Obtuvimos la calificación más alta con un 92.5, mediante una encuesta de calificación a todos los usuarios en relación con el tiempo de respuesta,",,,,,
16,Calidad,Control de Calidad,Defina los indicadores de servicios con los cuales son medidos por sus clientes actuales:,,NPS (Net promotor score),,,,,
17,Calidad,Reportes,¿Qué tipo de reportes manejan con sus clientes y cómo se puede tener acceso a los mismos?,,"ROE's Reportes Operativos Standard: Consolidado mensual del comportamiento operativo de los procesos y servicios que experimenta el cliente tales como: Customer Care, Adquisiciones, Mantenir",,,,,
18,Calidad,Productos y Servicios,Describa los detalles de Servicio al Cliente que maneja en su empresa,,"Contamos con la consola Service Cloud dentro de nuestro CRM, la cual tiene acceso directo al principal punto de contacto operativo (FPS) y a diversas áreas internas, la cual nos permite a traves del",,,,,
19,Calidad,Certificaciones ,¿Cuéntan con procesos y /o certificaciones relacionadas a Responsabilidad Social? En caso afirmativo indicar cuáles y en que consiste:,,"Distintivo Empresa Socialmente Responsable: El distintivo ESR es un reconocimiento que otorga el Centro Mexicano de Filantropía y la organización ""Aliarse por México"" a las empresas que adoptan",,,,,